name,date,hour,atmosphericpressure,precipitation,relativehumidity,temperature,winddirection,windspeedavg,windspeedmax,windspeedmin,surfacetemperaturewintersense,temperaturewintersense,z_score
Marktstätte,2024-05-14,10,961.65,86.88,67.0,16.7,55.0,0.8,1.75,0.1,29.76,22.85,-0.27673860751829127
Marktstätte,2024-05-14,11,961.1,86.88,52.05,19.35,41.0,0.75,1.85,0.1,36.0,25.69,0.4267224978947549
Marktstätte,2024-05-14,12,960.6,86.88,52.7,19.6,65.0,0.9,2.0,0.15,38.66,26.65,-0.25190816758560797
Marktstätte,2024-05-14,13,959.8,86.88,49.7,20.8,72.0,0.9,1.8,0.2,40.49,28.15,-0.5988595248336558
Marktstätte,2024-05-14,14,959.1,86.88,39.9,24.2,47.5,0.85,1.95,0.15,42.2,29.93,0.19092056656977272
Marktstätte,2024-05-14,15,958.35,86.88,28.0,26.0,63.0,0.9,1.9,0.1,42.98,30.07,0.6717971922752944
Marktstätte,2024-05-14,16,957.95,86.88,29.6,25.9,63.5,0.95,1.95,0.15,41.27,29.05,0.3053021930878967
Marktstätte,2024-05-14,17,957.6,86.88,27.9,26.3,73.0,0.7,1.5,0.1,38.37,28.42,0.4269997273105632
Marktstätte,2024-05-14,18,957.4,86.88,35.3,25.15,132.5,1.2,2.65,0.1,33.97,26.31,0.1767176417806034
Marktstätte,2024-05-14,19,957.5,86.88,58.5,20.95,73.5,1.45,3.05,0.15,28.53,21.75,-0.4249350444252707
Marktstätte,2024-05-14,20,957.4,86.88,58.25,20.6,73.5,1.0,2.05,0.15,25.27,20.34,-0.6914545919554782
Marktstätte,2024-05-14,21,957.7,86.88,54.3,20.4,62.0,1.1,2.6,0.2,23.33,19.95,0.5188996515572362
Marktstätte,2024-05-14,22,958.0,86.88,59.0,19.35,79.0,0.95,2.3,0.1,21.73,18.99,0.24361642718987583
Marktstätte,2024-05-14,23,958.3,86.88,57.1,19.05,167.0,0.95,2.4,0.15,20.85,18.49,0.9897678417607694
Marktstätte,2024-05-15,0,958.7,86.88,66.7,17.3,250.0,1.9,3.3,0.2,19.85,17.21,1.2361854803054493
Marktstätte,2024-05-15,1,959.05,86.88,68.94,16.25,244.0,1.85,3.55,0.25,19.6,16.17,1.580990359373501
Marktstätte,2024-05-15,2,959.2,86.88,70.39,15.8,240.0,1.7,3.3,0.3,19.33,15.79,1.6144163549240729
Marktstätte,2024-05-15,3,959.2,86.96,82.35,14.55,252.0,1.6,3.1,0.1,17.53,14.54,1.0125185422744754
Marktstätte,2024-05-15,4,959.2,86.97,82.74,14.25,249.0,1.25,2.4,0.15,16.68,14.15,1.0971168048757727
Marktstätte,2024-05-15,5,959.2,86.97,82.7,14.0,246.0,1.3,2.6,0.2,16.81,13.94,1.3296078906418742
Marktstätte,2024-05-15,6,959.45,86.97,81.9,13.9,247.5,1.45,2.95,0.35,16.75,13.86,1.627847116395523
Marktstätte,2024-05-15,7,959.9,86.97,82.54,14.0,232.5,1.05,1.8,0.2,17.23,14.26,0.8111017305060765
Marktstätte,2024-05-15,8,960.3,86.97,84.85,14.2,222.0,0.95,2.2,0.1,17.12,14.39,1.3267417353564541
Marktstätte,2024-05-15,9,960.4,87.07,86.34,14.2,228.5,1.0,1.75,0.15,17.43,14.45,0.9574271077563316
Marktstätte,2024-05-15,10,960.35,87.19,84.9,14.95,191.0,0.95,1.7,0.1,20.69,16.71,-0.2190593285355181
Marktstätte,2024-05-15,11,960.35,87.19,77.84,16.05,55.0,0.85,1.95,0.2,23.12,18.94,0.017615723060358777
Marktstätte,2024-05-15,12,960.15,87.19,74.65,16.65,63.0,1.1,2.25,0.15,27.65,20.89,-0.06826521320159172
Marktstätte,2024-05-15,13,959.8,87.19,74.29,16.8,39.0,1.0,2.6,0.1,29.15,20.25,-0.135815084005576
Marktstätte,2024-05-15,14,959.25,87.19,74.54,17.2,36.0,0.55,1.45,0.1,26.45,18.94,0.13822208666909602
Marktstätte,2024-05-15,15,959.0,87.26,76.29,17.1,64.0,0.6,1.4,0.2,24.13,17.7,0.08965815751511172
Marktstätte,2024-05-15,16,958.55,87.34,73.3,18.15,67.0,0.65,1.25,0.1,23.23,18.91,0.2982267558924625
Marktstätte,2024-05-15,17,958.25,87.34,68.4,19.0,211.5,0.45,1.0,0.05,24.16,20.09,1.6654262136475484
Marktstätte,2024-05-15,18,958.3,87.39,72.0,18.3,230.5,0.85,1.5,0.1,22.08,18.36,1.1480060824740015
Marktstätte,2024-05-15,19,958.25,87.94,79.75,17.55,87.0,0.65,1.15,0.1,20.35,16.98,1.4083335629217117
Marktstätte,2024-05-15,20,958.0,88.31,91.65,16.25,56.5,0.55,1.2,0.1,18.81,15.99,0.08412392168630548
Marktstätte,2024-05-15,21,958.5,88.31,86.1,16.5,258.0,0.7,1.5,0.0,17.77,15.73,1.1701032127543418
Marktstätte,2024-05-15,22,959.75,88.31,79.8,15.55,261.0,1.5,3.3,0.1,15.59,15.08,1.1982866243898238
Marktstätte,2024-05-15,23,960.4,88.31,76.05,13.8,241.5,1.4,3.25,0.45,14.54,13.36,1.4681299007258892
Marktstätte,2024-05-16,0,960.9,88.31,78.39,13.3,230.0,0.9,1.8,0.1,14.19,12.7,1.379384900128571
Marktstätte,2024-05-16,1,960.9,88.31,78.44,13.0,227.0,0.8,1.65,0.1,13.55,12.45,1.4619342046292205
Marktstätte,2024-05-16,2,961.05,88.31,76.65,13.0,185.5,0.35,1.0,0.05,13.37,12.23,1.3984074037901124
Marktstätte,2024-05-16,3,960.6,88.31,78.84,12.45,259.5,0.85,1.45,0.4,12.8,11.81,1.281998598918677
Marktstätte,2024-05-16,4,960.6,88.31,81.79,11.9,52.0,0.3,0.8,0.0,12.31,11.07,1.5564950599823928
Marktstätte,2024-05-16,5,960.35,88.31,82.8,11.45,241.5,0.8,1.15,0.2,12.02,10.75,1.6991363568032822
Marktstätte,2024-05-16,6,960.5,88.31,83.24,11.15,225.0,0.6,1.15,0.05,12.7,10.82,1.6026419891483936
Marktstätte,2024-05-16,7,960.3,88.31,82.5,11.7,239.5,0.95,1.65,0.2,13.07,11.78,-0.2093400541324842
Marktstätte,2024-05-16,8,960.45,88.31,69.55,14.3,112.5,0.6,1.3,0.15,17.68,18.27,0.9862000951952089
Marktstätte,2024-05-16,9,960.3,88.31,75.15,14.3,64.0,0.75,1.95,0.1,20.57,17.45,-0.147062382078574
Marktstätte,2024-05-16,10,959.8,88.31,68.4,15.9,68.5,0.75,2.3,0.1,29.16,22.17,0.02724948994260433
Marktstätte,2024-05-16,11,959.55,88.31,66.54,16.65,41.5,1.25,2.45,0.3,33.45,22.52,-0.37895180519597577
Marktstätte,2024-05-16,12,959.0,88.31,52.6,19.4,57.0,0.9,2.1,0.1,37.49,25.65,0.8130314157909817
Marktstätte,2024-05-16,13,958.85,88.31,46.0,19.75,71.0,0.8,1.8,0.1,35.85,24.33,0.8866120745372235
Marktstätte,2024-05-16,14,957.9,88.31,43.3,21.5,190.0,0.8,2.3,0.1,35.57,26.03,1.5390767411922048
Marktstätte,2024-05-16,15,957.75,88.31,44.95,20.95,230.5,1.65,2.8,0.1,33.78,23.39,0.9799578870122181
Marktstätte,2024-05-16,16,957.1,88.31,46.65,20.9,225.5,1.05,2.55,0.1,30.8,22.61,1.2187055519924448
Marktstätte,2024-05-16,17,956.85,88.31,48.8,20.55,223.5,1.05,2.75,0.15,28.36,21.77,1.798527209246223
Marktstätte,2024-05-16,18,956.4,88.31,57.6,19.0,242.0,1.9,3.9,0.3,26.03,19.49,2.0688537024215545
Marktstätte,2024-05-16,19,957.65,47.99,90.15,13.55,153.5,3.15,8.2,0.4,16.89,13.72,0.6615306416061831
Marktstätte,2024-05-16,20,958.1,12.73,89.29,13.4,251.0,1.5,3.4,0.2,15.29,13.28,1.539880074501508
Marktstätte,2024-05-16,21,958.4,12.92,91.1,12.7,247.0,1.35,3.95,0.15,15.17,12.65,0.8042042104158227
Marktstätte,2024-05-16,22,958.8,13.82,91.04,12.1,254.0,1.95,4.5,0.15,14.66,12.05,1.6316711058327724
Marktstätte,2024-05-16,23,958.9,15.78,92.1,11.8,272.0,2.6,5.4,0.4,14.13,11.73,2.1744126046908803
Marktstätte,2024-05-17,0,959.1,19.76,90.65,11.3,268.5,3.8,8.1,0.9,13.05,11.26,1.9195544445356956
Marktstätte,2024-05-17,1,959.3,24.73,91.0,10.9,253.0,1.9,4.6,0.2,12.67,10.75,2.144197294559564
Marktstätte,2024-05-17,2,959.6,29.69,90.79,10.5,271.5,2.5,5.6,0.4,12.15,10.45,1.7374237265295838
Marktstätte,2024-05-17,3,959.8,34.57,90.55,10.35,276.0,2.95,6.1,0.4,11.87,10.27,1.8253537545595822
Marktstätte,2024-05-17,4,959.9,38.43,90.3,10.3,265.0,2.2,4.9,0.6,11.83,10.19,1.6860685051976514
Marktstätte,2024-05-17,5,960.05,40.74,91.15,10.25,261.0,1.5,3.1,0.15,12.03,10.15,1.3337458107858455
Marktstätte,2024-05-17,6,960.4,41.56,90.4,10.55,268.5,1.7,3.7,0.15,12.13,10.43,1.6478000078039896
Marktstätte,2024-05-17,7,960.95,42.27,89.9,10.65,267.5,1.6,4.0,0.2,12.23,10.56,1.8511950402167348
Marktstätte,2024-05-17,8,961.35,42.75,89.2,10.8,252.5,2.55,4.75,0.15,12.52,10.73,1.9947614503111113
Marktstätte,2024-05-17,9,961.75,43.38,88.74,10.9,254.5,2.15,4.95,0.35,13.09,11.04,1.5357275023499595
Marktstätte,2024-05-17,10,961.95,43.68,86.0,11.5,257.0,2.1,5.9,0.2,14.19,11.8,1.3381878950260693
