Jahr,Extremniederschlagstage_Anzahl,Frosttage_Anzahl,Heisse_Tage_Anzahl,Hitzewellentage_Anzahl,Tropennaechte_Anzahl,Modell,Statistik
2033,10.966666666666667,53.03333333333333,6.433333333333334,1.3666666666666667,9.7,Szenario RCP 4.5,Durchschnitt
2034,10.966666666666667,52.96666666666667,6.933333333333334,1.4666666666666666,10.133333333333333,Szenario RCP 4.5,Durchschnitt
2035,10.8,52.833333333333336,7.0,1.4666666666666666,10.566666666666666,Szenario RCP 4.5,Durchschnitt
2036,10.866666666666667,51.93333333333333,7.033333333333333,1.4666666666666666,10.9,Szenario RCP 4.5,Durchschnitt
2037,10.733333333333333,50.96666666666667,7.3,1.4666666666666666,11.333333333333334,Szenario RCP 4.5,Durchschnitt
2038,11.0,50.9,7.366666666666666,1.4666666666666666,11.233333333333333,Szenario RCP 4.5,Durchschnitt
2039,11.166666666666666,49.46666666666667,7.366666666666666,1.4666666666666666,11.266666666666667,Szenario RCP 4.5,Durchschnitt
2040,11.5,49.6,7.333333333333333,1.4666666666666666,11.233333333333333,Szenario RCP 4.5,Durchschnitt
2041,11.6,49.63333333333333,7.5,1.4666666666666666,11.6,Szenario RCP 4.5,Durchschnitt
2042,11.7,48.86666666666667,7.5,1.4666666666666666,11.6,Szenario RCP 4.5,Durchschnitt
2043,11.533333333333333,47.36666666666667,7.7,1.5666666666666667,11.966666666666667,Szenario RCP 4.5,Durchschnitt
2044,11.766666666666667,46.266666666666666,7.833333333333333,1.5,11.9,Szenario RCP 4.5,Durchschnitt
2045,11.766666666666667,47.166666666666664,7.433333333333334,1.2666666666666666,11.6,Szenario RCP 4.5,Durchschnitt
2046,11.733333333333333,47.06666666666667,7.3,1.0333333333333334,11.566666666666666,Szenario RCP 4.5,Durchschnitt
2047,11.6,46.7,6.966666666666667,0.9,11.4,Szenario RCP 4.5,Durchschnitt
2048,11.166666666666666,46.766666666666666,7.833333333333333,1.6,12.533333333333333,Szenario RCP 4.5,Durchschnitt
2049,11.3,46.03333333333333,8.6,1.9666666666666666,12.966666666666667,Szenario RCP 4.5,Durchschnitt
2050,11.433333333333334,46.53333333333333,8.133333333333333,1.7333333333333334,12.7,Szenario RCP 4.5,Durchschnitt
2051,11.566666666666666,45.733333333333334,8.266666666666667,1.7333333333333334,13.033333333333333,Szenario RCP 4.5,Durchschnitt
2052,11.2,45.833333333333336,8.233333333333333,1.7333333333333334,12.9,Szenario RCP 4.5,Durchschnitt
2053,11.066666666666666,46.36666666666667,8.166666666666666,1.7333333333333334,13.066666666666666,Szenario RCP 4.5,Durchschnitt
2054,11.333333333333334,46.63333333333333,8.166666666666666,1.7333333333333334,13.1,Szenario RCP 4.5,Durchschnitt
2055,11.1,47.13333333333333,7.966666666666667,1.5333333333333334,13.133333333333333,Szenario RCP 4.5,Durchschnitt
2056,10.8,48.4,8.2,1.6333333333333333,13.433333333333334,Szenario RCP 4.5,Durchschnitt
