,hour,name,temperature,mean_temperature,temperature_deviation
29,2,Marktstätte,16.024679487179487,15.301544289044289,0.7231351981351981
30,2,Riedstrasse,14.513141025641026,15.301544289044289,-0.7884032634032625
31,2,Stadtgarten,15.219230769230768,15.301544289044289,-0.0823135198135212
32,2,Stephansplatz,15.804487179487179,15.301544289044289,0.5029428904428901
33,3,Bodanplatz,15.413782051282052,14.91826923076923,0.49551282051282186
34,3,Döbele,14.584935897435898,14.91826923076923,-0.33333333333333215
35,3,Friedrichstrasse,14.697115384615385,14.91826923076923,-0.22115384615384492
36,3,Fähre Staad,15.226602564102564,14.91826923076923,0.30833333333333357
37,3,Herose-Park,14.787820512820513,14.91826923076923,-0.13044871794871682
38,3,Hörnle,14.562179487179487,14.91826923076923,-0.35608974358974343
39,3,Mainaustrasse,14.829807692307691,14.91826923076923,-0.08846153846153904
40,3,Marktstätte,15.621474358974357,14.91826923076923,0.703205128205127
41,3,Riedstrasse,14.114102564102565,14.91826923076923,-0.8041666666666654
42,3,Stadtgarten,14.875641025641025,14.91826923076923,-0.042628205128204755
43,3,Stephansplatz,15.3875,14.91826923076923,0.46923076923076934
44,4,Bodanplatz,15.117628205128204,14.614685314685314,0.5029428904428901
45,4,Döbele,14.306730769230768,14.614685314685314,-0.30795454545454604
46,4,Friedrichstrasse,14.395512820512819,14.614685314685314,-0.2191724941724953
47,4,Fähre Staad,14.93621794871795,14.614685314685314,0.32153263403263566
48,4,Herose-Park,14.498397435897436,14.614685314685314,-0.11628787878787783
49,4,Hörnle,14.275320512820512,14.614685314685314,-0.3393648018648019
50,4,Mainaustrasse,14.51025641025641,14.614685314685314,-0.10442890442890373
51,4,Marktstätte,15.29775641025641,14.614685314685314,0.6830710955710959
52,4,Riedstrasse,13.808653846153847,14.614685314685314,-0.8060314685314669
53,4,Stadtgarten,14.551602564102565,14.614685314685314,-0.06308275058274937
54,4,Stephansplatz,15.063461538461539,14.614685314685314,0.4487762237762247
55,5,Bodanplatz,14.876923076923077,14.372770979020979,0.5041520979020984
56,5,Döbele,14.051121794871793,14.372770979020979,-0.32164918414918553
57,5,Friedrichstrasse,14.165384615384616,14.372770979020979,-0.2073863636363633
58,5,Fähre Staad,14.693910256410257,14.372770979020979,0.3211392773892783
59,5,Herose-Park,14.248076923076923,14.372770979020979,-0.12469405594405636
60,5,Hörnle,14.049358974358974,14.372770979020979,-0.32341200466200526
61,5,Mainaustrasse,14.255769230769232,14.372770979020979,-0.11700174825174692
62,5,Marktstätte,15.0375,14.372770979020979,0.6647290209790206
